Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0001921574 --- Peshawar Intl, Pakistan (PEW)
0.0001920484 --- Jinan, China (TNA)
0.0001918453 --- Danang Intl, Vietnam (DAD)
0.0001916687 --- Aktau, Kazakhstan (SCO)
0.000191469 --- Charlotte County-Punta Gorda Airport, United States (PGD)
0.0001914427 --- Ouagadougou, Burkina Faso (OUA)
0.0001913796 --- Wewak Intl, Papua New Guinea (WWK)
0.0001912555 --- Wuxu, China (NNG)
0.0001912145 --- Ouargla, Algeria (OGX)
0.0001912003 --- Tefe, Brazil (TFF)
0.0001911923 --- City Centre, Canada (YTZ)
0.0001911864 --- Kos, Greece (KGS)
0.000191176 --- Menara, Morocco (RAK)
0.000191128 --- San Pedro, Belize (SPR)
0.0001909356 --- Santa Genoveva, Brazil (GYN)
0.0001909089 --- Borg El Arab Intl, Egypt (HBE)
0.0001908703 --- Le Raizet, Guadeloupe (PTP)
0.0001905649 --- Menorca, Spain (MAH)
0.0001904721 --- Unalakleet Airport, United States (UNK)
0.0001903943 --- Flin Flon, Canada (YFO)
0.0001903646 --- Trapani Birgi, Italy (TPS)
0.0001903012 --- Qaqortoq Heliport, Greenland (JJU)
0.0001902443 --- Attawapiskat Airport, Canada (YAT)
0.0001902406 --- Williams Harbour Airport, Canada (YWM)
0.0001902348 --- Hamilton Airport, Australia (HLT)
0.0001902313 --- Westchester Co, United States (HPN)
0.000190183 --- St Denis Gillot, Reunion (RUN)
0.0001901339 --- Makkovik Airport, Canada (YMN)
0.0001901012 --- Sleetmute Airport, United States (SLQ)
0.0001900997 --- Roche Harbor Seaplane Base, United States (RCE)
0.0001900783 --- Gustavo Rojas Pinilla, Colombia (ADZ)
0.0001900176 --- Cunnamulla Airport, Australia (CMA)
0.0001899688 --- Gimhae Intl, South Korea (PUS)
0.00018994 --- Qaanaaq Airport, Greenland (NAQ)
0.0001899318 --- Ferihegy, Hungary (BUD)
