Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
Correct routes found : 68292
Airports found in routes : 39387
There are 2455 airports that are dead ends

     ###############################################################################
     ............... Page Rank --- Airport name (Airport code) .....................
     ###############################################################################
     
0.0002995459 --- Temindung, Indonesia (SRI)
0.0002995246 --- Irkutsk, Russia (IKT)
0.0002981809 --- Dallas Love Fld, United States (DAL)
0.0002969482 --- Santarem, Brazil (STM)
0.0002950637 --- Myrtle Beach Intl, United States (MYR)
0.0002947485 --- Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire (ABJ)
0.000294712 --- Penang Intl, Malaysia (PEN)
0.0002936418 --- Adnan Menderes, Turkey (ADB)
0.0002935905 --- Lanzhou Airport, China (LHW)
0.0002935672 --- Newcastle, United Kingdom (NCL)
0.0002934973 --- Pattimura, Indonesia (AMQ)
0.0002934339 --- Alfredo Vasquez Cobo, Colombia (LET)
0.000293234 --- Pisa, Italy (PSA)
0.0002931683 --- Hato, Netherlands Antilles (CUR)
0.0002925765 --- Wuxu, China (NNG)
0.0002918761 --- Mount Isa, Australia (ISA)
0.0002915647 --- Ioannis Kapodistrias Intl, Greece (CFU)
0.0002913347 --- Gimhae Intl, South Korea (PUS)
0.0002912559 --- Bateen, United Arab Emirates (AZI)
0.0002899749 --- Split, Croatia (SPU)
0.0002892274 --- Novy, Russia (KHV)
0.000288623 --- Heydar Aliyev, Azerbaijan (GYD)
0.0002882057 --- Changle, China (FOC)
0.0002880183 --- Waskaganish Airport, Canada (YKQ)
0.0002871503 --- Hammerfest Airport, Norway (HFT)
0.0002869245 --- Allama Iqbal Intl, Pakistan (LHE)
0.0002868076 --- Toamasina, Madagascar (TMM)
0.0002867952 --- Yaounde Nsimalen, Cameroon (NSI)
0.000286701 --- Beograd, Serbia (BEG)
0.0002864711 --- Lajes, Portugal (TER)
0.0002863269 --- Wiley Post Will Rogers Mem, United States (BRW)
0.0002862719 --- Fort Yukon, United States (FYU)
0.0002861137 --- Luqa, Malta (MLA)
0.0002855498 --- Viru Viru Intl, Bolivia (VVI)
0.0002850905 --- Edward G Pitka Sr, United States (GAL)
0.0002848998 --- Ferihegy, Hungary (BUD)
0.0002848413 --- Ponta Delgada, Portugal (PDL)
0.0002845326 --- Sondre Stromfjord, Greenland (SFJ)
0.0002836616 --- El Salvador Intl, El Salvador (SAL)
0.0002822124 --- Governador Jorge Teixeira De Oliveira, Brazil (PVH)
0.0002819769 --- Esfahan Shahid Beheshti Intl, Iran (IFN)
0.000281107 --- Nagasaki, Japan (NGS)
0.0002808524 --- Cochin, India (COK)
0.0002801532 --- Tokua Airport, Papua New Guinea (RAB)
0.0002800018 --- Southampton, United Kingdom (SOU)
0.0002799873 --- Wusu, China (TYN)
0.0002796153 --- Jijiga Airport, Ethiopia (JIJ)
0.000279355 --- Sam Ratulangi, Indonesia (MDC)
0.0002793418 --- Dyce, United Kingdom (ABZ)
0.000278624 --- Phuket Intl, Thailand (HKT)
0.0002783363 --- Eros Airport, Namibia (ERS)
0.0002780424 --- Jefman, Indonesia (SOQ)
0.0002772317 --- Es Senia, Algeria (ORN)
0.0002769711 --- Kigali Intl, Rwanda (KGL)
0.0002768993 --- Liverpool, United Kingdom (LPL)
0.0002767588 --- Guam Intl, Guam (GUM)
0.0002767488 --- Rangiroa, French Polynesia (RGI)
0.0002762941 --- Bahrain Intl, Bahrain (BAH)
0.0002762596 --- Keflavik International Airport, Iceland (KEF)
0.0002756468 --- Frankfurt Hahn, Germany (HHN)
0.0002755301 --- Philip S W Goldson Intl, Belize (BZE)
0.0002748759 --- Niederrhein, Germany (NRN)
0.0002745333 --- Zamboanga Intl, Philippines (ZAM)
0.0002734997 --- Narsarsuaq, Greenland (UAK)
0.0002731269 --- McGrath Airport, United States (MCG)
0.0002728426 --- Reina Beatrix Intl, Aruba (AUA)
0.0002724524 --- Entebbe Intl, Uganda (EBB)
0.0002716744 --- Catania Fontanarossa, Italy (CTA)
0.0002711144 --- Longreach Airport, Australia (LRE)
0.0002709801 --- Toncontin Intl, Honduras (TGU)
0.0002704302 --- Ondjiva Pereira Airport, Angola (VPE)
0.0002703345 --- Goloson Intl, Honduras (LCE)
0.0002699973 --- Menorca, Spain (MAH)
0.0002698478 --- Mount Hagen, Papua New Guinea (HGU)
0.0002691675 --- Rafic Hariri Intl, Lebanon (BEY)
0.0002691166 --- Kos, Greece (KGS)
0.0002690331 --- Elmas, Italy (CAG)
0.0002682883 --- Tenerife Norte, Spain (TFN)
0.0002681773 --- Austin Bergstrom Intl, United States (AUS)
0.0002668158 --- Albany Intl, United States (ALB)
0.0002664233 --- Caye Caulker Airport, Belize (CUK)
0.0002662934 --- Durban Intl, South Africa (DUR)
0.0002661194 --- Santa Maria Airport, Brazil (RIA)
0.0002652916 --- Boeing Fld King Co Intl, United States (BFI)
0.0002648401 --- Xining Caojiabu Airport, China (XNN)
0.0002638305 --- Minsk 2, Belarus (MSQ)
0.0002632193 --- Borg El Arab Intl, Egypt (HBE)
0.0002631996 --- Pinto Martins Intl, Brazil (FOR)
0.0002628672 --- Larnaca, Cyprus (LCA)
0.0002625203 --- Gurney Airport, Papua New Guinea (GUR)
0.0002624206 --- Cadjehoun, Benin (COO)
0.0002619985 --- Menara, Morocco (RAK)
0.00026198 --- Sungshan, Taiwan (TSA)
0.0002616248 --- Tille, France (BVA)
0.0002616146 --- San Antonio Intl, United States (SAT)
0.0002614698 --- Bologna, Italy (BLQ)
0.0002612472 --- Nantes Atlantique, France (NTE)
0.0002606156 --- Leeds Bradford, United Kingdom (LBA)
0.0002603566 --- Santa Cruz, Bolivia (SRZ)
0.0002602808 --- Santa Genoveva, Brazil (GYN)
0.0002602143 --- Dubrovnik, Croatia (DBV)
0.0002587057 --- Visby, Sweden (VBY)
0.0002585663 --- EuroAirport Basel-Mulhouse-Freiburg, Switzerland (BSL)
0.0002585652 --- Del Caribe Intl Gen Santiago Marino, Venezuela (PMV)
0.0002584575 --- Maningrida Airport, Australia (MNG)
0.0002578833 --- St Denis Gillot, Reunion (RUN)
0.000257275 --- Valencia, Spain (VLC)
0.0002563392 --- Unalakleet Airport, United States (UNK)
0.0002561439 --- Pierre Regional Airport, United States (PIR)
0.0002552071 --- Campo Dell Oro, France (AJA)
0.0002551709 --- Ahwaz, Iran (AWZ)
0.0002550899 --- Knevichi, Russia (VVO)
0.0002546954 --- Sacramento Intl, United States (SMF)
0.0002546317 --- Benina, Libya (BEN)
0.0002545639 --- Piarco, Trinidad and Tobago (POS)
0.0002543493 --- Norman Wells, Canada (YVQ)
0.0002535535 --- Ouagadougou, Burkina Faso (OUA)
0.0002532528 --- Syktyvkar, Russia (SCW)
0.0002531446 --- Peshawar Intl, Pakistan (PEW)
0.0002520221 --- Kuujjuarapik Airport, Canada (YGW)
0.0002516515 --- Burgas, Bulgaria (BOJ)
0.0002516504 --- Hercilio Luz, Brazil (FLN)
0.0002515664 --- Campo Grande, Brazil (CGR)
0.0002511668 --- Jose Maria Cordova, Colombia (MDE)
0.0002511631 --- Bandar Abbass Intl, Iran (BND)
0.0002511493 --- Harare Intl, Zimbabwe (HRE)
0.0002511263 --- Wales Airport, United States (WAA)
0.0002507187 --- Norman Y Mineta San Jose Intl, United States (SJC)
0.0002506735 --- Louis Armstrong New Orleans Intl, United States (MSY)
0.0002505168 --- Raleigh Durham Intl, United States (RDU)
0.0002503993 --- Luxembourg, Luxembourg (LUX)
0.0002501632 --- Hannover, Germany (HAJ)
0.0002499722 --- Eindhoven, Netherlands (EIN)
0.0002498146 --- San Pedro, Belize (SPR)
0.0002495299 --- General Ignacio P Garcia Intl, Mexico (HMO)
0.0002492983 --- Meilan, China (HAK)
0.0002489241 --- Fuerteventura, Spain (FUE)
0.0002482977 --- Schonefeld, Germany (SXF)
0.0002481878 --- El Plumerillo, Argentina (MDZ)
